method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
naive,512,2,321,1.0540934801101685,1.092113377115782,-0.03801989700561359,0.03801989700561359,0.034813141018400745,0.0014455125683174653,0.197265625,0.3
prox,512,2,321,1.0665909051895142,1.092113377115782,-0.025522471926267887,0.025522471926267887,0.023369800664534927,0.0006513965732271324,0.197265625,0.3
ipw,512,2,321,1.0497514009475708,1.092113377115782,-0.042361976168211246,0.042361976168211246,0.03878899119438235,0.0017945370248760976,0.197265625,0.3
impute,512,2,321,0.8549941778182983,1.092113377115782,-0.2371191992974837,0.2371191992974837,0.21711958141535076,0.056225514675479794,0.197265625,0.3
scope,512,2,321,1.0574531508503,1.092113377115782,-0.03466022626548204,0.03466022626548204,0.03173683885918328,0.0012013312847744112,0.197265625,0.3
naive,512,2,322,1.0707672834396362,1.0906793228476304,-0.01991203940799413,0.01991203940799413,0.01825654799800021,0.00039648931338551126,0.216796875,0.3
prox,512,2,322,1.0752266645431519,1.0906793228476304,-0.015452658304478506,0.015452658304478506,0.014167920836835437,0.00023878464867496853,0.216796875,0.3
ipw,512,2,322,1.0681605339050293,1.0906793228476304,-0.022518788942601065,0.022518788942601065,0.020646571793262992,0.000507095855441412,0.216796875,0.3
impute,512,2,322,0.8712533116340637,1.0906793228476304,-0.21942601121356664,0.21942601121356664,0.20118288356349523,0.04814777439709627,0.216796875,0.3
scope,512,2,322,0.9990907010898412,1.0906793228476304,-0.09158862175778915,0.09158862175778915,0.0839739232597373,0.008388475635491367,0.216796875,0.3
naive,512,2,323,1.0435490608215332,1.089553407849715,-0.0460043470281819,0.0460043470281819,0.042223122516750825,0.002116399945489389,0.234375,0.3
prox,512,2,323,1.0472880601882935,1.089553407849715,-0.04226534766142165,0.04226534766142165,0.0387914418484857,0.0017863596129408404,0.234375,0.3
ipw,512,2,323,1.0408178567886353,1.089553407849715,-0.04873555106107985,0.04873555106107985,0.04472984133679298,0.0023751539372271215,0.234375,0.3
impute,512,2,323,0.8876546621322632,1.089553407849715,-0.20189874571745192,0.20189874571745192,0.18530412943768274,0.04076310352228031,0.234375,0.3
scope,512,2,323,1.1036289533535542,1.089553407849715,0.014075545503839049,0.014075545503839049,0.01291863749168368,0.00019812098123064365,0.234375,0.3
naive,512,2,324,1.0692228078842163,1.0902951596467374,-0.02107235176252109,0.02107235176252109,0.019327199223143087,0.00044404400880342575,0.1865234375,0.3
prox,512,2,324,1.0759954452514648,1.0902951596467374,-0.014299714395272556,0.014299714395272556,0.01311545251645963,0.00020448183178636516,0.1865234375,0.3
ipw,512,2,324,1.0667556524276733,1.0902951596467374,-0.02353950721906406,0.02353950721906406,0.02159003184668912,0.000554108400116369,0.1865234375,0.3
impute,512,2,324,0.8485028743743896,1.0902951596467374,-0.24179228527234775,0.24179228527234775,0.22176773246493178,0.058463509217224395,0.1865234375,0.3
scope,512,2,324,1.1360495510249722,1.0902951596467374,0.04575439137823478,0.04575439137823478,0.04196514216669502,0.002093464330392685,0.1865234375,0.3
naive,512,2,325,1.0871634483337402,1.0901513425270348,-0.0029878941932945935,0.0029878941932945935,0.002740806782266102,8.92751171032355e-06,0.2265625,0.3
prox,512,2,325,1.100685954093933,1.0901513425270348,0.010534611566898278,0.010534611566898278,0.009663439520680156,0.00011097804086542699,0.2265625,0.3
ipw,512,2,325,1.0798046588897705,1.0901513425270348,-0.01034668363726432,0.01034668363726432,0.009491052511369752,0.00010705386228963322,0.2265625,0.3
impute,512,2,325,0.9934853315353394,1.0901513425270348,-0.09666601099169547,0.09666601099169547,0.08867210195569541,0.00934431768104659,0.2265625,0.3
scope,512,2,325,1.1411190352192517,1.0901513425270348,0.050967692692216904,0.050967692692216904,0.046752859629627934,0.0025977056983682604,0.2265625,0.3
naive,512,2,326,1.011914849281311,1.088685096147388,-0.07677024686607692,0.07677024686607692,0.07051648556386927,0.005893670803878393,0.2265625,0.3
prox,512,2,326,1.0223417282104492,1.088685096147388,-0.06634336793693874,0.06634336793693874,0.06093898793297806,0.004401442469216031,0.2265625,0.3
ipw,512,2,326,1.0106298923492432,1.088685096147388,-0.07805520379814479,0.07805520379814479,0.07169676895032791,0.006092614839969917,0.2265625,0.3
impute,512,2,326,0.7823790311813354,1.088685096147388,-0.3063060649660525,0.3063060649660525,0.2813541455192148,0.09382340543498757,0.2265625,0.3
scope,512,2,326,0.997690375892362,1.088685096147388,-0.09099472025502597,0.09099472025502597,0.08358222279062683,0.008280039114290434,0.2265625,0.3
naive,512,2,327,1.1326490640640259,1.090090527190129,0.04255853687389677,0.04255853687389677,0.039041286766886917,0.001811229060846831,0.208984375,0.3
prox,512,2,327,1.1315821409225464,1.090090527190129,0.041491613732417276,0.041491613732417276,0.038062539484099635,0.001721554010120118,0.208984375,0.3
ipw,512,2,327,1.1262658834457397,1.090090527190129,0.036175356255610636,0.036175356255610636,0.03318564408486147,0.0013086564002203476,0.208984375,0.3
impute,512,2,327,1.030973196029663,1.090090527190129,-0.059117331160466025,0.059117331160466025,0.05423157956692804,0.003494858843536207,0.208984375,0.3
scope,512,2,327,0.9816947291934149,1.090090527190129,-0.10839579799671417,0.10839579799671417,0.09943742771173372,0.011749649023344464,0.208984375,0.3
