method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
naive,512,8,321,3.9282913208007812,4.48396532758158,-0.5556740067807988,0.5556740067807988,0.12392468857035091,0.3087736018118272,0.203369140625,0.3,sigmoid
prox,512,8,321,4.371291160583496,4.48396532758158,-0.11267416699808397,0.11267416699808397,0.025128242251341092,0.012695467908712114,0.203369140625,0.3,sigmoid
ipw,512,8,321,3.9388279914855957,4.48396532758158,-0.5451373360959844,0.5451373360959844,0.12157483304849803,0.2971747152058262,0.203369140625,0.3,sigmoid
impute,512,8,321,-0.2072964310646057,4.48396532758158,-4.691261758646186,4.691261758646186,1.046230605261261,22.007936888136104,0.203369140625,0.3,sigmoid
scope,512,8,321,4.246129446439195,4.48396532758158,-0.2378358811423853,0.2378358811423853,0.05304141842476327,0.05656590635877483,0.203369140625,0.3,sigmoid
naive,512,8,322,4.018680572509766,4.467252331283926,-0.4485717587741602,0.4485717587741602,0.10041334706634691,0.2012166227697434,0.209228515625,0.3,sigmoid
prox,512,8,322,4.4834675788879395,4.467252331283926,0.016215247604013605,0.016215247604013605,0.003629803378344918,0.00026293425485946896,0.209228515625,0.3,sigmoid
ipw,512,8,322,4.064972877502441,4.467252331283926,-0.40227945378148444,0.40227945378148444,0.09005075691926853,0.16182875893472948,0.209228515625,0.3,sigmoid
impute,512,8,322,-5.942743301391602,4.467252331283926,-10.409995632675528,10.409995632675528,2.3302904919372684,108.36800907232357,0.209228515625,0.3,sigmoid
scope,512,8,322,3.7132677530601454,4.467252331283926,-0.7539845782237804,0.7539845782237804,0.16878038720662078,0.5684927441992921,0.209228515625,0.3,sigmoid
naive,512,8,323,3.7340335845947266,4.477853613846202,-0.7438200292514754,0.7438200292514754,0.16611084090633763,0.5532682359156657,0.2021484375,0.3,sigmoid
prox,512,8,323,4.2585554122924805,4.477853613846202,-0.21929820155372148,0.21929820155372148,0.048973955038552,0.04809170120469665,0.2021484375,0.3,sigmoid
ipw,512,8,323,3.772616147994995,4.477853613846202,-0.7052374658512068,0.7052374658512068,0.15749453346811199,0.4973598832402321,0.2021484375,0.3,sigmoid
impute,512,8,323,2.812624931335449,4.477853613846202,-1.6652286825107527,1.6652286825107527,0.37188100061190327,2.7729865650564975,0.2021484375,0.3,sigmoid
scope,512,8,323,4.3730565933952885,4.477853613846202,-0.10479702045091344,0.10479702045091344,0.02340340473097762,0.01098241549538917,0.2021484375,0.3,sigmoid
naive,512,8,324,3.992100238800049,4.485037009276008,-0.49293677047595885,0.49293677047595885,0.10990695716812617,0.24298665968726813,0.18701171875,0.3,sigmoid
prox,512,8,324,4.428896903991699,4.485037009276008,-0.05614010528430846,0.05614010528430846,0.012517200007089979,0.003151711421333239,0.18701171875,0.3,sigmoid
ipw,512,8,324,3.9561238288879395,4.485037009276008,-0.5289131803880682,0.5289131803880682,0.1179283870554833,0.2797491523882212,0.18701171875,0.3,sigmoid
impute,512,8,324,0.4078693985939026,4.485037009276008,-4.077167610682105,4.077167610682105,0.9090599703524537,16.623295725595227,0.18701171875,0.3,sigmoid
scope,512,8,324,4.5009929126009,4.485037009276008,0.015955903324892162,0.015955903324892162,0.003557585654676198,0.0002545908509133048,0.18701171875,0.3,sigmoid
naive,512,8,325,4.1691484451293945,4.4808856412836375,-0.311737196154243,0.311737196154243,0.06957044234338901,0.09718007946610897,0.205322265625,0.3,sigmoid
prox,512,8,325,4.61104154586792,4.4808856412836375,0.1301559045842824,0.1301559045842824,0.02904691505293509,0.016940559498152822,0.205322265625,0.3,sigmoid
ipw,512,8,325,3.8164055347442627,4.4808856412836375,-0.6644801065393748,0.6644801065393748,0.14829213680825415,0.44153381198657893,0.205322265625,0.3,sigmoid
impute,512,8,325,-6.321109294891357,4.4808856412836375,-10.801994936174996,10.801994936174996,2.4106830213771206,116.68309460115026,0.205322265625,0.3,sigmoid
