method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
naive,64,8,321,4.044024467468262,4.48396532758158,-0.43994086011331834,0.43994086011331834,0.09811424218808573,0.19354796039724634,0.193359375,0.3
prox,64,8,321,4.480179786682129,4.48396532758158,-0.0037855408994511563,0.0037855408994511563,0.0008442395564849031,1.433031990141747e-05,0.193359375,0.3
ipw,64,8,321,3.938438653945923,4.48396532758158,-0.5455266736356572,0.5455266736356572,0.12166166189556292,0.29759935164798484,0.193359375,0.3
impute,64,8,321,2.7817440032958984,4.48396532758158,-1.7022213242856816,1.7022213242856816,0.379624104989182,2.8975574368528996,0.193359375,0.3
scope,64,8,321,2.7218953399725487,4.48396532758158,-1.7620699876090313,1.7620699876090313,0.39297136772451385,3.1048906412324917,0.193359375,0.3
naive,64,8,322,4.39147424697876,4.467252331283926,-0.07577808430516608,0.07577808430516608,0.016963018581801673,0.0057423180609608585,0.201171875,0.3
prox,64,8,322,4.759552478790283,4.467252331283926,0.29230014750635736,0.29230014750635736,0.06543175218901232,0.08543937623223827,0.201171875,0.3
ipw,64,8,322,4.358217716217041,4.467252331283926,-0.10903461506688483,0.10903461506688483,0.024407534426323162,0.011888547282783749,0.201171875,0.3
impute,64,8,322,4.056976318359375,4.467252331283926,-0.41027601292455085,0.41027601292455085,0.09184079664616439,0.1683264067812662,0.201171875,0.3
scope,64,8,322,2.989951127241236,4.467252331283926,-1.47730120404269,1.47730120404269,0.33069571505894796,2.1824188474659816,0.201171875,0.3
naive,64,8,323,2.764796257019043,4.477853613846202,-1.713057356827159,1.713057356827159,0.3825621613735041,2.934565507779652,0.23046875,0.3
prox,64,8,323,3.348839282989502,4.477853613846202,-1.1290143308567,1.1290143308567,0.2521329253295857,1.274673359279802,0.23046875,0.3
ipw,64,8,323,2.8450050354003906,4.477853613846202,-1.6328485784458113,1.6328485784458113,0.36464983433062576,2.666194480132507,0.23046875,0.3
impute,64,8,323,0.34756582975387573,4.477853613846202,-4.130287784092326,4.130287784092326,0.9223811540691841,17.0592771794223,0.23046875,0.3
scope,64,8,323,4.2301339619706,4.477853613846202,-0.24771965187560152,0.24771965187560152,0.05532106969946825,0.06136502592536921,0.23046875,0.3
naive,64,8,324,4.329265117645264,4.485037009276008,-0.155771891630744,0.155771891630744,0.034731461815939245,0.024264882222220254,0.1953125,0.3
prox,64,8,324,4.858817100524902,4.485037009276008,0.37378009124889466,0.37378009124889466,0.08333935494307809,0.13971155661403203,0.1953125,0.3
ipw,64,8,324,4.288918495178223,4.485037009276008,-0.19611851409778502,0.19611851409778502,0.043727290029529374,0.038462471571923104,0.1953125,0.3
impute,64,8,324,1.6028521060943604,4.485037009276008,-2.8821849031816473,2.8821849031816473,0.642622323343303,8.306989816128201,0.1953125,0.3
scope,64,8,324,3.966309314032901,4.485037009276008,-0.5187276952431068,0.5187276952431068,0.11565739461464151,0.26907842181222547,0.1953125,0.3
naive,64,8,325,4.120621681213379,4.4808856412836375,-0.3602639600702586,0.3602639600702586,0.08040016838435848,0.1297901209255049,0.189453125,0.3
prox,64,8,325,4.642876625061035,4.4808856412836375,0.16199098377739762,0.16199098377739762,0.03615155501513583,0.0262410788251691,0.189453125,0.3
