method,n,T,mnar_c0,reward_type,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
impute,512,8,-2.8,linear,3.485610775947571,3.428956716422253,0.0566540595253178,0.8666585181685217,0.2525983830694707,1.2778786034281315,1.1420516021687752,50,0.8275830078125
impute,512,8,-2.8,sigmoid,2.204148075580597,5.580757308998427,-3.3766092334178306,3.3766092334178306,0.6050398924913436,11.634943807925094,0.4877177795689759,50,0.7816748046875
impute,512,8,-1.5,linear,3.5207568311691286,3.1790299039886953,0.3417269271804333,0.9654599171181433,0.3036442731695618,1.6320263212101427,1.241230491580666,50,0.665458984375
impute,512,8,-1.5,sigmoid,1.9754122138023376,5.227582534845942,-3.2521703210436046,3.2521703210436046,0.6220756429985733,11.148190578770173,0.7621592713835901,50,0.5373828125
impute,512,8,-0.7,linear,3.4741850986704232,2.877869692956766,0.5963154057136566,1.089407197250761,0.3786505175719653,1.825307829660282,1.2243005440203858,50,0.559619140625
impute,512,8,-0.7,sigmoid,0.9149299892038107,4.894606896604784,-3.9796769074009735,4.5273748709328565,0.9249119253426873,25.214545482759387,3.0936533317844224,50,0.3722216796875
impute,512,8,0.3,linear,3.2320120292901993,2.353462412197858,0.878549617092341,1.5225854035487076,0.6471650808524936,3.2370696520792297,1.5847514172623403,50,0.4307080078125
impute,512,8,0.3,sigmoid,-5.743170871138573,4.479611629645282,-10.222782500783854,10.222782500783854,2.2807897158738477,189.90117693049925,9.331977552492278,50,0.2008740234375
ipw,512,8,-2.8,linear,1.2540948827564717,3.428956716422253,-2.1748618336657812,3.7433071191596174,1.093026898072084,39.483495709898946,5.952065079463191,50,0.8275830078125
ipw,512,8,-2.8,sigmoid,4.430188331604004,5.580757308998427,-1.1505689773944234,2.915449920909946,0.5224379241305399,57.15448435679113,7.546835524922078,50,0.7816748046875
ipw,512,8,-1.5,linear,0.7313200139254331,3.1790299039886953,-2.447709890063262,2.5472398931781144,0.8007149071489736,7.545000430993931,1.2540292031141484,50,0.665458984375
ipw,512,8,-1.5,sigmoid,4.208645939826965,5.227582534845942,-1.0189365950189766,1.0430518197584504,0.19952301270568623,1.1477986525779793,0.3322918335393932,50,0.5373828125
ipw,512,8,-0.7,linear,-2.7923434050008655,2.877869692956766,-5.670213097957632,5.69466551777524,1.983853202564977,305.1696611165433,16.69350402281578,50,0.559619140625
ipw,512,8,-0.7,sigmoid,4.122227330207824,4.894606896604784,-0.772379566396959,0.772379566396959,0.15781763389107445,0.6217605968018227,0.16289131377694863,50,0.3722216796875
ipw,512,8,0.3,linear,1.138559443950653,2.353462412197858,-1.2149029682472052,2.6312079204647536,1.1146103030168693,22.80294610703744,4.664950336215778,50,0.4307080078125
ipw,512,8,0.3,sigmoid,4.117780089378357,4.479611629645282,-0.36183154026692493,0.3912583256639048,0.08735137118910478,0.18108631507470693,0.22677632388035565,50,0.2008740234375
naive,512,8,-2.8,linear,0.3280616044998169,3.428956716422253,-3.100895111922436,3.100895111922436,0.9047744419105116,13.11680063422228,1.8929131354513624,50,0.8275830078125
naive,512,8,-2.8,sigmoid,4.095356554985046,5.580757308998427,-1.4854007540133813,1.4854007540133813,0.2661453518358707,2.2526821375235295,0.21455029134564693,50,0.7816748046875
naive,512,8,-1.5,linear,0.7464908593893052,3.1790299039886953,-2.43253904459939,2.602157464136231,0.8182834289246361,7.347581652831785,1.204763607214478,50,0.665458984375
naive,512,8,-1.5,sigmoid,4.164230928421021,5.227582534845942,-1.0633516064249213,1.0633516064249213,0.20340578610264373,1.1589727038389193,0.16904568581603685,50,0.5373828125
naive,512,8,-0.7,linear,0.8332510149478912,2.877869692956766,-2.044618678008875,2.044618678008875,0.7100946744132903,4.4623013465126435,0.5302614501079791,50,0.559619140625
naive,512,8,-0.7,sigmoid,4.107308387756348,4.894606896604784,-0.7872985088484361,0.7872985088484361,0.16084687260188274,0.6420253896226871,0.15016997853405625,50,0.3722216796875
naive,512,8,0.3,linear,0.7140296593308448,2.353462412197858,-1.6394327528670132,1.6394327528670132,0.696292257871947,2.818554165962563,0.3601799276274519,50,0.4307080078125
naive,512,8,0.3,sigmoid,4.06769148349762,4.479611629645282,-0.4119201461476622,0.4119201461476622,0.09195701650061755,0.1906042199409328,0.14687432788464888,50,0.2008740234375
prox,512,8,-2.8,linear,4.548725843429565,3.428956716422253,1.1197691270073125,1.1197691270073125,0.32664138350476724,1.3407328202738156,0.2955327423282272,50,0.8275830078125
prox,512,8,-2.8,sigmoid,5.51389142036438,5.580757308998427,-0.06686588863404765,0.11307439267970722,0.02026609155162469,0.018800308035739927,0.12230969499275363,50,0.7816748046875
prox,512,8,-1.5,linear,3.9290892267227173,3.1790299039886953,0.7500593227340221,0.7500593227340221,0.23596419061810892,0.6365432851553956,0.2749926654928333,50,0.665458984375
prox,512,8,-1.5,sigmoid,5.190875272750855,5.227582534845942,-0.036707262095087484,0.09032888441124752,0.017280486776542578,0.011643864162215965,0.10426853735776086,50,0.5373828125
