method,n,T,mnar_c0,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
impute,64,8,-2.8,2.3024999300638833,5.580757308998427,-3.2753819301514384,3.2753819301514384,0.5872054184350347,10.868967692952744,0.4592612225478671,50,0.7871484375
impute,64,8,-1.5,1.913801920413971,5.227582534845942,-3.313780614431971,3.313780614431971,0.6338838107134306,11.526356543311223,0.7451374072587672,50,0.5434375
impute,64,8,-0.7,2.4675739258527756,4.894606896604784,-2.427032970752008,2.810258769082149,0.5741488730761164,8.875504576110695,1.7429026081586452,50,0.3776171875
impute,64,8,0.3,3.9090727651119233,4.479611629645282,-0.5705388645333587,4.11281980928892,0.9183152263280678,41.07704845012609,6.44719980371169,50,0.20359375
impute,128,8,-2.8,2.027056908607483,5.580757308998427,-3.553700400390945,3.553700400390945,0.6368002798182926,12.816343878494894,0.4390960884781008,50,0.78349609375
impute,128,8,-1.5,2.0573974829912185,5.227582534845942,-3.1701850518547237,3.1701850518547237,0.6064714145476227,10.374913397667829,0.5775064966302914,50,0.54154296875
impute,128,8,-0.7,2.032651176452637,4.894606896604784,-2.8619557201521473,2.8619557201521473,0.5850037195654586,13.353268920150361,2.298227436178298,50,0.37630859375
impute,128,8,0.3,2.7611320424079895,4.479611629645282,-1.7184795872372924,4.080314562408055,0.910852238005,71.6909522329748,8.374282438701474,50,0.20248046875
impute,256,8,-2.8,1.9241760444641114,5.580757308998427,-3.6565812645343163,3.6565812645343163,0.6552342945171793,13.576727600306512,0.46011173863753085,50,0.7824609375
impute,256,8,-1.5,2.207036160826683,5.227582534845942,-3.020546374019259,3.020546374019259,0.5778353978262474,9.476439393495324,0.601144515764333,50,0.540625
impute,256,8,-0.7,1.887996277064085,4.894606896604784,-3.006610619540699,3.0387283277872377,0.6207427417634398,11.335902247004867,1.5294777549837142,50,0.37474609375
impute,256,8,0.3,-1.3690181788802147,4.479611629645282,-5.848629808525496,6.563232737824401,1.4661839020442602,98.1761403185761,8.08126455411762,50,0.20234375
impute,512,8,-2.8,2.1976176071166993,5.580757308998427,-3.3831397018817286,3.3831397018817286,0.6061915334990836,11.676628236343968,0.48392455316323113,50,0.7816748046875
impute,512,8,-1.5,2.027131865695119,5.227582534845942,-3.200450669150823,3.200450669150823,0.612176066888426,11.39512121878552,1.0830806928191477,50,0.5373828125
impute,512,8,-0.7,1.777120770663023,4.894606896604784,-3.117486125941761,4.666013154003822,0.9536274761289983,36.69281676298122,5.244990320302166,50,0.3722216796875
impute,512,8,0.3,-5.013952446728945,4.479611629645282,-9.493564076374227,9.6532434495038,2.1546627433341214,137.75780776406947,6.971025130412298,50,0.2008740234375
impute,1024,8,-2.8,2.2756126606464386,5.580757308998427,-3.3051446483519893,3.3051446483519893,0.5922568712765272,11.26009208294664,0.5865685487079878,50,0.78260986328125
impute,1024,8,-1.5,1.3689936251379549,5.227582534845942,-3.8585889097079873,3.8585889097079873,0.7381711681231358,16.062526816573346,1.0956752130308298,50,0.5379248046875
impute,1024,8,-0.7,-0.2992666774243116,4.894606896604784,-5.193873574029095,5.3931359197807005,1.1020197349028054,33.64487239364874,2.610079520026997,50,0.3726123046875
impute,1024,8,0.3,-2.3942313042283057,4.479611629645282,-6.873842933873587,10.85165692655522,2.422247702257821,163.11197748332464,10.873830248276874,50,0.20078369140625
impute,2048,8,-2.8,1.3528604935109616,5.580757308998427,-4.227896815487466,4.227896815487466,0.7575732346908043,18.7165135859011,0.9261766668138804,50,0.78329833984375
impute,2048,8,-1.5,0.0550066601485014,5.227582534845942,-5.172575874697441,5.172575874697441,0.9895069889464384,28.126571960900083,1.1834466136071173,50,0.53840576171875
impute,2048,8,-0.7,-0.366404568683356,4.894606896604784,-5.2610114652881395,5.970674624637059,1.2199698869537245,41.81212548857415,3.7975764264916156,50,0.372891845703125
impute,2048,8,0.3,1.4029251047968865,4.479611629645282,-3.0766865248483954,9.611031429946635,2.1451467373897346,151.75462201086808,12.04877726131029,50,0.2002197265625
ipw,64,8,-2.8,4.903151353200276,5.580757308998427,-0.674730507015045,0.7265559747034246,0.13030328962216103,0.8558844339531855,0.7787816263770183,50,0.7871484375
ipw,64,8,-1.5,3.4839951848983763,5.227582534845942,-1.7435873499475656,1.7435873499475656,0.3335462572942709,6.1167398619626985,1.7720207298072246,50,0.5434375
ipw,64,8,-0.7,3.8421975064277647,4.894606896604784,-1.0524093901770188,1.1018460709492783,0.2251301970181901,1.6551350114735204,0.747749239101197,50,0.3776171875
ipw,64,8,0.3,4.04985390663147,4.479611629645282,-0.4297577230138121,0.5518807158828344,0.12318408807956686,0.4336443502532054,0.5059695545955045,50,0.20359375
ipw,128,8,-2.8,4.435044806003571,5.580757308998427,-1.145712502994857,2.2216469900044458,0.39807598553995616,9.579688569647304,2.904530656650896,50,0.78349609375
ipw,128,8,-1.5,3.990447322130203,5.227582534845942,-1.2371352127157387,1.2870909343842798,0.2462210684568607,2.3454410086812625,0.9124678129463113,50,0.54154296875
ipw,128,8,-0.7,4.0811097621917725,4.894606896604784,-0.8134971344130113,0.9288314061504912,0.1897899743716377,1.0493766856058657,0.6305863533799126,50,0.37630859375
ipw,128,8,0.3,2.903156723976135,4.479611629645282,-1.5764549056691468,1.5977798900838889,0.35718665362204677,62.23638097926596,7.809725352152835,50,0.20248046875
